,year,pct,ser_num,datestop,timestop,recstat,inout,trhsloc,perobs,crimsusp,perstop,typeofid,explnstp,othpers,arstmade,arstoffn,sumissue,sumoffen,compyear,comppct,offunif,officrid,frisked,searched,contrabn,adtlrept,pistol,riflshot,asltweap,knifcuti,machgun,othrweap,pf_hands,pf_wall,pf_grnd,pf_drwep,pf_ptwep,pf_baton,pf_hcuff,pf_pepsp,pf_other,radio,ac_rept,ac_inves,rf_vcrim,rf_othsw,ac_proxm,rf_attir,cs_objcs,cs_descr,cs_casng,cs_lkout,rf_vcact,cs_cloth,cs_drgtr,ac_evasv,ac_assoc,cs_furtv,rf_rfcmp,ac_cgdir,rf_verbl,cs_vcrim,cs_bulge,cs_other,ac_incid,ac_time,rf_knowl,ac_stsnd,ac_other,sb_hdobj,sb_outln,sb_admis,sb_other,repcmd,revcmd,rf_furt,rf_bulg,offverb,offshld,forceuse,sex,race,dob,age,ht_feet,ht_inch,weight,haircolr,eyecolor,build,othfeatr,addrtyp,rescode,premtype,premname,addrnum,stname,stinter,crossst,aptnum,city,state,zip,addrpct,sector,beat,post,xcoord,ycoord,dettypcm,linecm,detailcm
count,532911.0,532911.0,532911.0,532911.0,532911.0,532911,532911,532911,532911.0,532909,532911,532911,532911,532911,532911,532909,532911,532902,532911.0,532911.0,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911,532911.0,532911.0,532911,532911,532911,532911,532911,532911,532911,532911.0,532911.0,532911.0,532911.0,532911.0,532911,532911,532911,532911,532911,532911,532911,532818,532911,532911,532911,532911,532911,532911,532911,532911,532911.0,532911,532911,532911,532911,532911,532911,532911.0,532911.0
unique,,,,,,2,2,3,,6825,150,4,2,2,2,3754,2,4039,,,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,463.0,,2,2,2,2,7,3,8,,,,,,11,13,5,9,1,1,1,13716,11206,4803,6858,6732,1,6,1,1,152.0,20,11,100,51225,59245,2,4.0,149.0
top,,,,,,1,O,P,,FEL,5,P,Y,N,N, ,N, ,,,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,165.0,,N,N, , , ,M,B,,,,,,BK,BR,M, ,R, , ,STREET, , ,BROADWAY,BROADWAY, ,BROOKLYN, , ,75.0,A, , , , ,CM,1.0,20.0
freq,,,,,,269234,417377,413990,,104935,177688,289131,532535,430923,500596,500600,505472,512037,,,401059,526511,297244,488663,523677,532911,532249,532898,532860,528206,532908,531589,462623,520284,531089,531611,531678,532854,513665,532854,529421,403875,465902,458488,463955,515019,412500,493450,519463,444997,343055,432273,489273,507914,493933,431677,508725,274645,490633,405926,529549,474002,493989,449598,319862,299354,522919,519278,514585,509706,530116,531450,513967,34602.0,,323411,495579,430032,402902,465609,487065,284229,,,,,,404114,479038,308601,532896,532911,532911,532911,200106,312070,306954,11975,5110,532911,188707,532911,532911,20506.0,55505,337499,477757,15585,15585,532909,418838.0,127383.0
mean,2012.0,66.50235405161462,4979.569875645277,5563631.426133069,1415.1617962474033,,,,2.4457761239681672,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.8336851744475,,,,,,,,8947660.296008151,28.76953937899574,5.181846499696947,6.417966602303199,169.28482992469662,,,,,,,,,,,,,,,,,,,,,,,,,
std,0.0,32.34351137453162,4360.019624629483,3413338.417836305,737.00327607145,,,,5.028138881502005,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.13006606854356,,,,,,,,3839557.0015407004,24.006995744199422,0.397057205687458,3.363581516153098,36.83800428754539,,,,,,,,,,,,,,,,,,,,,,,,,
min,2012.0,1.0,1.0,1012012.0,0.0,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1011001.0,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
25%,2012.0,41.0,1790.0,2292012.0,1002.0,,,,1.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,,,,,,,,6051983.0,19.0,5.0,4.0,150.0,,,,,,,,,,,,,,,,,,,,,,,,,
50%,2012.0,70.0,3790.0,5052012.0,1615.0,,,,1.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.0,,,,,,,,10311996.0,24.0,5.0,7.0,165.0,,,,,,,,,,,,,,,,,,,,,,,,,
75%,2012.0,94.0,6982.0,8252012.0,2030.0,,,,2.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.0,,,,,,,,12311900.0,34.0,5.0,9.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,
